,galaxy,v3k,mod0,dl_mpc,z,d_mpc
0,  2MASXJ00024910+0045055     ,25649,37.28,285.7590543374944,8.555585477737402e-05,285.7346080688616
1,  2MASXJ01415126-0052365     ,27737,37.43,306.1963433690682,9.252067308511144e-05,306.16801649810463
2,  2MASXJ01270614+1906587     ,12621,36.1,165.9586907437563,4.209912445495877e-05,165.95170432230253
3,  2MASXJ01454460-5605518     ,26258,37.83,368.1289736425306,8.758726011713077e-05,368.09673305822395
4,  2MASXJ03372260-3302350     ,11603,35.73,139.9587322572615,3.870344196584158e-05,139.95331558223393
5,  2MASXJ09591870-1928233     ,3982,34.18,68.5488226452662,1.3282522270790415e-05,68.54791215609637
6,  2MASXJ13524703+0518496     ,25457,37.92,383.70724549227845,8.491541171459357e-05,383.67466560008455
7,  SDSSJ212342.95-005035.0    ,18426,37.2,275.42287033381746,6.14625201812115e-05,275.40594319047614
8,  SDSSJ012648.45-011417.3    ,16910,37.03,254.68302525850444,5.6405688498007514e-05,254.66866049737024
9,  SDSSJ215558.49-010413.0    ,21212,37.6,331.1311214825908,7.075561587343201e-05,331.1076937537988
10,  WMMA080                    ,11345,37.21,276.6941645411513,3.784284660023035e-05,276.6836940425609
11,  [QQH97]J234014.21+261211.8 ,9846,36.15,169.8243652461746,3.284272081321005e-05,169.81878793513363
12,  SCPJ110136.37-060631.6     ,12361,36.55,204.17379446695233,4.123185780744357e-05,204.16537634918552
13,  NSFJ235412.09+272432.3     ,6854,35.25,112.20184543019653,2.286248308488134e-05,112.19928027604908
14,  NSFJ022743.32+281037.6     ,10230,35.81,145.2111617587745,3.4123606938770955e-05,145.2062067992486
15,  SDSSJ121438.73+121347.7    ,19523,37.56,325.0872973854347,6.512171830553523e-05,325.0661285205825
16,  PGC5068230                 ,8938,35.63,133.6595516546446,2.981395882881083e-05,133.65556685307718
17,  SDSSJ223041.15-004634.4    ,26567,37.26,283.1391995799379,8.861797317129306e-05,283.114110581282
18,  SDSSJ214000.48-000002.9    ,29641,38.46,492.0395356814511,9.887173345768425e-05,491.99089168914435
19,  SDSSJ030111.99-003313.5    ,17790,38.88,597.0352865838365,5.934105253575125e-05,596.9998599837813
20,  [WM92]212426.8-614612      ,22366,37.62,334.1950400261136,7.460494553201868e-05,334.17010928331206
21,  UGC00272                   ,3552,33.72,55.462571295791044,1.184819666143836e-05,55.46191417212472
22,  IC4595                     ,3487,32.87,37.49730022454834,1.1631379999559562e-05,37.49686408427338
23,  ESO107-015                 ,3248,32.81,36.4753946925608,1.0834161812035979e-05,36.47499951651394
24,  IC5084                     ,3032,33.69,54.7015962893971,1.011366336640797e-05,54.70104306146179
25,  NGC6943                    ,3050,32.24,28.05433637951716,1.0173704903543638e-05,28.05405096588128
26,  IC5120                     ,3210,32.86,37.32501577957206,1.070740745586068e-05,37.32461612969903
27,  UGC03787                   ,8762,35.91,152.05475297324907,2.9226886021262084e-05,152.05030901619793
28,  NGC7503                    ,12843,36.43,193.19683170169222,4.283963674629867e-05,193.1885555741479
